canal,nome_video,data_visualizacao,Ano,Mês,Dia,Dia da Semana,Parte do dia,hora
Ligados No Futebol,Flamengo 2 x 1 Volta Redonda | Melhores Momentos | Carioca 24/04/2021Ligados No Futebol27 de abr. de 2021 21:03:38 BRT,2021-04-27 21:03:38,2021,Abril,27,Terça-feira,Noite,21
NoCopyrightSounds,Cartoon - On & On (feat. Daniel Levi) [NCS Release]NoCopyrightSounds27 de abr. de 2021 14:40:55 BRT,2021-04-27 14:40:55,2021,Abril,27,Terça-feira,Tarde,14
NoCopyrightSounds,Diamond Eyes - Father [NCS Release]NoCopyrightSounds27 de abr. de 2021 14:40:15 BRT,2021-04-27 14:40:15,2021,Abril,27,Terça-feira,Tarde,14
NoCopyrightSounds,"QUB3, Quickdrop & B0UNC3 - Stay Or Be Alone [NCS Release]NoCopyrightSounds27 de abr. de 2021 14:39:20 BRT",2021-04-27 14:39:20,2021,Abril,27,Terça-feira,Tarde,14
KiCanto Vlog,"COMO RETIRAR DIREITO AUTORAL, MONETIZAR E GANHAR DINHEIRO COM VIDEO DO YOUTUBE KiCanto Vlog 31KiCanto Vlog27 de abr. de 2021 14:38:59 BRT",2021-04-27 14:38:59,2021,Abril,27,Terça-feira,Tarde,14
Sertanejo 2020,Sofrência Sertaneja 2021 💖 As Melhores do Sertanejo Universitário (Mais Tocadas)- Top Sertanejo 2021Sertanejo 202027 de abr. de 2021 14:35:45 BRT,2021-04-27 14:35:45,2021,Abril,27,Terça-feira,Tarde,14
Canal 90,AS PEGADINHAS MAIS ABSURDAS DA TV!Canal 9027 de abr. de 2021 13:51:03 BRT,2021-04-27 13:51:03,2021,Abril,27,Terça-feira,Tarde,13
Canal 90,AS PEGADINHAS MAIS ABSURDAS DA TV! #5Canal 9027 de abr. de 2021 13:44:57 BRT,2021-04-27 13:44:57,2021,Abril,27,Terça-feira,Tarde,13
Jheysson Douglas,PRIMEIRA RODADA DO BRASILEIRÃO 2019 - GOLS DO FANTÁSTICO 28/04/2019Jheysson Douglas27 de abr. de 2021 13:44:38 BRT,2021-04-27 13:44:38,2021,Abril,27,Terça-feira,Tarde,13
Jheysson Douglas,Playground Goiânia 2017Jheysson Douglas27 de abr. de 2021 13:43:55 BRT,2021-04-27 13:43:55,2021,Abril,27,Terça-feira,Tarde,13
Jheysson Douglas,Neymar da soco em torcedor que provoca jogadores do psg no stade de franceJheysson Douglas27 de abr. de 2021 13:43:16 BRT,2021-04-27 13:43:16,2021,Abril,27,Terça-feira,Tarde,13
Jheysson Douglas,motivação para melhorar o seu dia a diaJheysson Douglas27 de abr. de 2021 13:43:02 BRT,2021-04-27 13:43:02,2021,Abril,27,Terça-feira,Tarde,13
Jheysson Douglas,marketing digital - estrategias utilizadas para o Marketing DigitalJheysson Douglas27 de abr. de 2021 13:42:38 BRT,2021-04-27 13:42:38,2021,Abril,27,Terça-feira,Tarde,13
Gabriel Monteiro,MINHA RESPOSTA A GLOBO E AO FELIPE NETO!Gabriel Monteiro27 de abr. de 2021 00:55:41 BRT,2021-04-27 00:55:41,2021,Abril,27,Terça-feira,Madrugada,0
Liberdade Loka,"Tombo de Gleice no Lucas ,Jaqueline , Ana PaulaLiberdade Loka27 de abr. de 2021 00:54:37 BRT",2021-04-27 00:54:37,2021,Abril,27,Terça-feira,Madrugada,0
We Made Your Day,I Have Pranked My Wife With A Fake Dead Dog 🐕 #shortsWe Made Your Day27 de abr. de 2021 00:54:37 BRT,2021-04-27 00:54:37,2021,Abril,27,Terça-feira,Madrugada,0
Fredy Sousa,Quem mandou vacilarFredy Sousa27 de abr. de 2021 00:52:37 BRT,2021-04-27 00:52:37,2021,Abril,27,Terça-feira,Madrugada,0
Alerta Bahia Oficial Tudo sobre a Bahia,Momento em que fiéis veem imegem de Nossa Senhora Aparecida em Caverna em Verdelândia - Minas GeraisAlerta Bahia Oficial Tudo sobre a Bahia27 de abr. de 2021 00:52:01 BRT,2021-04-27 00:52:01,2021,Abril,27,Terça-feira,Madrugada,0
Klem Family,Beach Money Ball!!💵🌊💵Klem Family27 de abr. de 2021 00:51:51 BRT,2021-04-27 00:51:51,2021,Abril,27,Terça-feira,Madrugada,0
Portal Na Íntegra,Australianas vão tirar foto com crocodilo e levam o maior sustoPortal Na Íntegra27 de abr. de 2021 00:51:02 BRT,2021-04-27 00:51:02,2021,Abril,27,Terça-feira,Madrugada,0
Marshall McCraw,Bucket On Head Prank! #shortsMarshall McCraw27 de abr. de 2021 00:50:14 BRT,2021-04-27 00:50:14,2021,Abril,27,Terça-feira,Madrugada,0
Matheus da 160 Branca branca de neve,"Trombei o mano Brown dei um salve e derrepente , e ele estava bravo com o cara do carro 😱Matheus da 160 Branca branca de neve27 de abr. de 2021 00:49:33 BRT",2021-04-27 00:49:33,2021,Abril,27,Terça-feira,Madrugada,0
Programas Meio Norte,Acidente envolvendo carros de luxo deixa mortos no PiauíProgramas Meio Norte27 de abr. de 2021 00:48:45 BRT,2021-04-27 00:48:45,2021,Abril,27,Terça-feira,Madrugada,0
ederson pena,Levando uma multa entrando no portão de casaederson pena27 de abr. de 2021 00:48:14 BRT,2021-04-27 00:48:14,2021,Abril,27,Terça-feira,Madrugada,0
Matt & Abby,Completely ignoring my wife to see how she reacts... #shortsMatt & Abby27 de abr. de 2021 00:47:44 BRT,2021-04-27 00:47:44,2021,Abril,27,Terça-feira,Madrugada,0
THALISON MATTOS,CR7 VS MESSI - DESAFIO DE FINALIZAÇÕES - #SHORTSTHALISON MATTOS27 de abr. de 2021 00:47:41 BRT,2021-04-27 00:47:41,2021,Abril,27,Terça-feira,Madrugada,0
No rolê com patron - OBSERVE vivencie!,Mano Brown grila com a presença del PATRON em Yo Music BrasíliaNo rolê com patron - OBSERVE vivencie!27 de abr. de 2021 00:47:17 BRT,2021-04-27 00:47:17,2021,Abril,27,Terça-feira,Madrugada,0
FUNK DOPIRA,WESLEY ALEMÃO REVOLTADO COM SAIDO DO BRONKS DA SERIE APAGA NOME DA KONDZILLA EM EVENTO DA LOVE FUNKFUNK DOPIRA27 de abr. de 2021 00:47:01 BRT,2021-04-27 00:47:01,2021,Abril,27,Terça-feira,Madrugada,0
Jeferson Augusto,ACHO QUE ELA NÃO GOSTOU MUITO NÃO.Jeferson Augusto27 de abr. de 2021 00:46:59 BRT,2021-04-27 00:46:59,2021,Abril,27,Terça-feira,Madrugada,0
Edeilson Soares,iPhone 12 porque não comprei? #shortsEdeilson Soares27 de abr. de 2021 00:46:53 BRT,2021-04-27 00:46:53,2021,Abril,27,Terça-feira,Madrugada,0
Adrena Lê,roubo de moto a  luz do dia rua lotada  ... Na caruda .Adrena Lê27 de abr. de 2021 00:46:17 BRT,2021-04-27 00:46:17,2021,Abril,27,Terça-feira,Madrugada,0
Anderson Camargo,Churrasco Gaúcho - Como Cortar o Salsichão/Linguiça/LinguicetaAnderson Camargo27 de abr. de 2021 00:46:15 BRT,2021-04-27 00:46:15,2021,Abril,27,Terça-feira,Madrugada,0
Jeferson Augusto,A POLÍCIA ESTRAGOU A FESTAJeferson Augusto27 de abr. de 2021 00:45:48 BRT,2021-04-27 00:45:48,2021,Abril,27,Terça-feira,Madrugada,0
MINUTOS DE COMBATE,Exército Brasileiro - Estágio de Adaptação na Selva. Obtenção de fogo por diversos meios.MINUTOS DE COMBATE27 de abr. de 2021 00:45:13 BRT,2021-04-27 00:45:13,2021,Abril,27,Terça-feira,Madrugada,0
marcos 118,Um homem mal vestido trombou com outro homem bem vestido e sai de carro esportivo!!!marcos 11827 de abr. de 2021 00:44:45 BRT,2021-04-27 00:44:45,2021,Abril,27,Terça-feira,Madrugada,0
Edits Prior,Felipe Prior ( Edit )Edits Prior27 de abr. de 2021 00:44:44 BRT,2021-04-27 00:44:44,2021,Abril,27,Terça-feira,Madrugada,0
ser feliz é tão fácil .,Vou mostra quem é jubileu.kkkkkkkkk.ser feliz é tão fácil .27 de abr. de 2021 00:44:13 BRT,2021-04-27 00:44:13,2021,Abril,27,Terça-feira,Madrugada,0
Pensando Alto Roberto Cardoso,Bolsonaro constrangido #shortsPensando Alto Roberto Cardoso27 de abr. de 2021 00:43:56 BRT,2021-04-27 00:43:56,2021,Abril,27,Terça-feira,Madrugada,0
CanalCanalha,POR ISSO QUE O WHINDERSSON NÃO FAZ COLLABS - SINUCASTIGO DA NOSTALGIA!!!CanalCanalha26 de abr. de 2021 19:43:12 BRT,2021-04-26 19:43:12,2021,Abril,26,Segunda-feira,Noite,19
Almeida Junior Locutor,A HISTÓRIA DOS MAMONASAlmeida Junior Locutor25 de abr. de 2021 15:23:54 BRT,2021-04-25 15:23:54,2021,Abril,25,Domingo,Tarde,15
Almeida Junior Locutor,A HISTÓRIA DE MARQUINHOSAlmeida Junior Locutor25 de abr. de 2021 15:23:14 BRT,2021-04-25 15:23:14,2021,Abril,25,Domingo,Tarde,15
Almeida Junior Locutor,A HISTÓRIA DE RAMÓN VALDÉSAlmeida Junior Locutor25 de abr. de 2021 15:22:06 BRT,2021-04-25 15:22:06,2021,Abril,25,Domingo,Tarde,15
Imperio Milionario,Ganhe R$300/dia Com a VOZ Contando Histórias Simples (Canal Dark de Historia)Imperio Milionario25 de abr. de 2021 15:07:10 BRT,2021-04-25 15:07:10,2021,Abril,25,Domingo,Tarde,15
Imperio Milionario,Como Ganhar Dinheiro no Youtube -🎵 COM MÚSICAS PRONTAS? 🎧 (canal dark de musica)Imperio Milionario25 de abr. de 2021 14:49:09 BRT,2021-04-25 14:49:09,2021,Abril,25,Domingo,Tarde,14
Erivelton,COMO criar CANAL de MÚSICA 2021 Atualizado sem PROBLEMAS COM direitos AutoraisErivelton25 de abr. de 2021 14:40:36 BRT,2021-04-25 14:40:36,2021,Abril,25,Domingo,Tarde,14
Fiaspo,ZERANDO GTA SAN ANDREAS EM 11 MINUTOSFiaspo25 de abr. de 2021 13:40:23 BRT,2021-04-25 13:40:23,2021,Abril,25,Domingo,Tarde,13
TheMAFIA,GTA SAN ANDREAS - ATÉ ZERAR COMPLETO || LEGENDADO EM PORTUGUÊS (PC) AGORA VAI!!TheMAFIA25 de abr. de 2021 13:37:51 BRT,2021-04-25 13:37:51,2021,Abril,25,Domingo,Tarde,13
Motoristas Online,Como funciona o aplicativo  de entrega  da Loggi para carros passo a passo.Motoristas Online23 de abr. de 2021 21:10:01 BRT,2021-04-23 21:10:01,2021,Abril,23,Sexta-feira,Noite,21
Gabriel Pato,Fiz um bot pra votar no paredão do BBB 21! Deu certo? (Parte 2)Gabriel Pato23 de abr. de 2021 18:15:06 BRT,2021-04-23 18:15:06,2021,Abril,23,Sexta-feira,Madrugada,18
Código Fonte TV,SOLID (O básico para você programar melhor) // Dicionário do ProgramadorCódigo Fonte TV23 de abr. de 2021 18:14:35 BRT,2021-04-23 18:14:35,2021,Abril,23,Sexta-feira,Madrugada,18
Canal 90,FAMOSOS QUE TIVERAM PREMONIÇÕES REAIS! #2Canal 9023 de abr. de 2021 18:09:47 BRT,2021-04-23 18:09:47,2021,Abril,23,Sexta-feira,Madrugada,18
Rafael Chocolate,DEJAVU 5 (O PROFETA) - Pegadinha | Rafael ChocolateRafael Chocolate23 de abr. de 2021 18:09:15 BRT,2021-04-23 18:09:15,2021,Abril,23,Sexta-feira,Madrugada,18
Balian,24 Horas na ILHA DESERTA ft Dilera e PSIU - ILHA de TOURETTEBalian23 de abr. de 2021 18:02:46 BRT,2021-04-23 18:02:46,2021,Abril,23,Sexta-feira,Madrugada,18
Cartoloucos,VOU ESTREAR CONTRA O VASCO!Cartoloucos23 de abr. de 2021 17:49:52 BRT,2021-04-23 17:49:52,2021,Abril,23,Sexta-feira,Tarde,17
Katrinna Lavigne,Rafa Kalimann escuta o hit Batom de cereja da dupla Israel e RodolffoKatrinna Lavigne23 de abr. de 2021 17:49:36 BRT,2021-04-23 17:49:36,2021,Abril,23,Sexta-feira,Tarde,17
JUCIMERI HOINACKI,tentando pega no saco do boiJUCIMERI HOINACKI23 de abr. de 2021 17:49:12 BRT,2021-04-23 17:49:12,2021,Abril,23,Sexta-feira,Tarde,17
Flow Podcast,NATHALIA ARCURI - Flow Podcast #302Flow Podcast23 de abr. de 2021 17:46:33 BRT,2021-04-23 17:46:33,2021,Abril,23,Sexta-feira,Tarde,17
Flow Poop [OFICIAL],Igor expulsa convidada ao vivoFlow Poop [OFICIAL]23 de abr. de 2021 17:45:42 BRT,2021-04-23 17:45:42,2021,Abril,23,Sexta-feira,Tarde,17
Fernando Floripa Motorista Uber,Ganhando 300 por dia com Magazine Luiza fazendo entregas no LogBeeFernando Floripa Motorista Uber23 de abr. de 2021 17:36:40 BRT,2021-04-23 17:36:40,2021,Abril,23,Sexta-feira,Tarde,17
Tecnologia online,FOTOS NAO ABREM NO WINDOWS 10 RESOLVIDO !Tecnologia online23 de abr. de 2021 15:06:45 BRT,2021-04-23 15:06:45,2021,Abril,23,Sexta-feira,Tarde,15
Bit Fut,Jogadores REAGINDO às suas cartas no FIFA 21! 🤣Bit Fut23 de abr. de 2021 00:41:56 BRT,2021-04-23 00:41:56,2021,Abril,23,Sexta-feira,Madrugada,0
Mundo Sem Fim,PRIMEIRO DIA NA COREIA DO NORTE | Parte 1Mundo Sem Fim23 de abr. de 2021 00:39:28 BRT,2021-04-23 00:39:28,2021,Abril,23,Sexta-feira,Madrugada,0
RedeTV! Jornalismo,Motorista reage a assalto e atropela bandido em São PauloRedeTV! Jornalismo23 de abr. de 2021 00:38:56 BRT,2021-04-23 00:38:56,2021,Abril,23,Sexta-feira,Madrugada,0
Eddy Drone,DRONE INVADE A CASA 🏠 DO BBBEddy Drone23 de abr. de 2021 00:37:41 BRT,2021-04-23 00:37:41,2021,Abril,23,Sexta-feira,Madrugada,0
Painel Nerd,O SEGREDO dos EFEITOS de MAD MAX: Estrada da Fúria! (Você pode se SURPREENDER)Painel Nerd23 de abr. de 2021 00:33:09 BRT,2021-04-23 00:33:09,2021,Abril,23,Sexta-feira,Madrugada,0
Eixos no Trexo,Bastidores Mad Max 5 com os erros de gravaçãoEixos no Trexo23 de abr. de 2021 00:32:19 BRT,2021-04-23 00:32:19,2021,Abril,23,Sexta-feira,Madrugada,0
Com Comics,COMO SERIA MAD MAX: ESTRADA DA FÚRIA SEM EFEITOS ESPECIAISCom Comics23 de abr. de 2021 00:29:56 BRT,2021-04-23 00:29:56,2021,Abril,23,Sexta-feira,Madrugada,0
Luan Siqueira,Grandes mitagens de Cléber MachadoLuan Siqueira23 de abr. de 2021 00:29:19 BRT,2021-04-23 00:29:19,2021,Abril,23,Sexta-feira,Madrugada,0
Glauco Macedo,Cleber Machado não aguenta!!Glauco Macedo23 de abr. de 2021 00:28:40 BRT,2021-04-23 00:28:40,2021,Abril,23,Sexta-feira,Madrugada,0
Desimpedidos,A revanche da Supercopa do Brasil nos pênaltisDesimpedidos22 de abr. de 2021 14:33:06 BRT,2021-04-22 14:33:06,2021,Abril,22,Quinta-feira,Tarde,14
freekickerz,Hat ein AMATEUR Torwart eine CHANCE gegen MANUEL NEUER?freekickerz22 de abr. de 2021 14:30:02 BRT,2021-04-22 14:30:02,2021,Abril,22,Quinta-feira,Tarde,14
Balian,Apostei R$ 10.000 na Mega SENA da VIRADA e Ganhei _____ ?Balian22 de abr. de 2021 14:27:49 BRT,2021-04-22 14:27:49,2021,Abril,22,Quinta-feira,Tarde,14
Dilera,O MELHOR ATENDENTE DE NET! FT. SKIPNHO (Dilera)Dilera22 de abr. de 2021 14:23:07 BRT,2021-04-22 14:23:07,2021,Abril,22,Quinta-feira,Tarde,14
Gabriel Pato,Dá pra hackear a votação do BBB 21? Analisei a segurança do paredão! (Parte 1)Gabriel Pato22 de abr. de 2021 14:22:15 BRT,2021-04-22 14:22:15,2021,Abril,22,Quinta-feira,Tarde,14
Cortes do Flow [OFICIAL],"DEFANTE QUEBRA O FONE DO FLOW E VAZA, ANÃO MANDA A REAL | Cortes do FlowCortes do Flow [OFICIAL]22 de abr. de 2021 14:21:09 BRT",2021-04-22 14:21:09,2021,Abril,22,Quinta-feira,Tarde,14
Poliana Online,Prior se Revolta com Daniel e pula na piscina de Propósito para perde estalecas | BBB20Poliana Online22 de abr. de 2021 14:15:14 BRT,2021-04-22 14:15:14,2021,Abril,22,Quinta-feira,Tarde,14
Edits Prior,Prior coloca todo mundo na xepaEdits Prior22 de abr. de 2021 14:14:16 BRT,2021-04-22 14:14:16,2021,Abril,22,Quinta-feira,Tarde,14
JV Videos,BABU PUTO COM PRIOR POR ELE FICAR MEXENDO NO PERUJV Videos22 de abr. de 2021 14:13:17 BRT,2021-04-22 14:13:17,2021,Abril,22,Quinta-feira,Tarde,14
Vídeos BBB,Babu incomodado com o barulho do Prior mastigandoVídeos BBB22 de abr. de 2021 14:12:40 BRT,2021-04-22 14:12:40,2021,Abril,22,Quinta-feira,Tarde,14
Cortes Podcast,MINHA NAMORADA ME DEU 6 TIROS e EU TIVE QUE ME DEFENDER | Cortes PodcastCortes Podcast22 de abr. de 2021 14:10:46 BRT,2021-04-22 14:10:46,2021,Abril,22,Quinta-feira,Tarde,14
Canal do Psiu,PSIU REACT - DILERA CONVERSANDO COM A GRINGA COM TOURETTE (JESSJESSJESSU)Canal do Psiu22 de abr. de 2021 14:09:14 BRT,2021-04-22 14:09:14,2021,Abril,22,Quinta-feira,Tarde,14
Gusttavo Lima,Sertanejo 2021 as mais tocadas do momentoGusttavo Lima21 de abr. de 2021 22:37:32 BRT,2021-04-21 22:37:32,2021,Abril,21,Quarta-feira,Noite,22
MCHammerVevo,MC Hammer - U Can't Touch This (Official Music Video)MCHammerVevo21 de abr. de 2021 21:25:09 BRT,2021-04-21 21:25:09,2021,Abril,21,Quarta-feira,Noite,21
nugeproductions93,Footloose Final Dance 1984 to 2011nugeproductions9321 de abr. de 2021 21:20:59 BRT,2021-04-21 21:20:59,2021,Abril,21,Quarta-feira,Noite,21
JT Michaelson,Bee Gees Stayin Alive (Extended Remaster)JT Michaelson21 de abr. de 2021 21:14:18 BRT,2021-04-21 21:14:18,2021,Abril,21,Quarta-feira,Noite,21
Serega Bolonkin,"80's Best Euro-Disco, Synth-Pop & Dance Hits Vol.1 (Serega Bolonkin Video Mix)│Танцевальные Хиты 80хSerega Bolonkin21 de abr. de 2021 21:14:14 BRT",2021-04-21 21:14:14,2021,Abril,21,Quarta-feira,Noite,21
severinohits,10 MÚSICAS QUE LOTAVAM AS PISTAS NOS ANOS 80severinohits21 de abr. de 2021 21:12:18 BRT,2021-04-21 21:12:18,2021,Abril,21,Quarta-feira,Noite,21
lucasil65 - ProjeSom Eventos,"Boney M - Rivers of Babylon - 1978 (Audio Original Stereo, Video Editado)lucasil65 - ProjeSom Eventos21 de abr. de 2021 21:12:02 BRT",2021-04-21 21:12:02,2021,Abril,21,Quarta-feira,Noite,21
discoreview,Born to be alive - Patrick Hernandezdiscoreview21 de abr. de 2021 21:10:49 BRT,2021-04-21 21:10:49,2021,Abril,21,Quarta-feira,Noite,21
Timeless Music,Grease - You're The One That I Want [HQ+Lyrics]Timeless Music21 de abr. de 2021 21:03:07 BRT,2021-04-21 21:03:07,2021,Abril,21,Quarta-feira,Noite,21
bonnietylerVEVO,Bonnie Tyler - Total Eclipse of the Heart (Long Version) [Audio]bonnietylerVEVO21 de abr. de 2021 20:56:55 BRT,2021-04-21 20:56:55,2021,Abril,21,Quarta-feira,Noite,20
4NonBlondesVEVO,4 Non Blondes - What's Up (Official Music Video)4NonBlondesVEVO21 de abr. de 2021 20:51:57 BRT,2021-04-21 20:51:57,2021,Abril,21,Quarta-feira,Noite,20
CyndiLauperVEVO,Cyndi Lauper - Girls Just Want To Have Fun (Official Video)CyndiLauperVEVO21 de abr. de 2021 20:47:22 BRT,2021-04-21 20:47:22,2021,Abril,21,Quarta-feira,Noite,20
Roxette,Roxette - It Must Have Been Love (Official Music Video)Roxette21 de abr. de 2021 20:41:54 BRT,2021-04-21 20:41:54,2021,Abril,21,Quarta-feira,Noite,20
Vintage Culture,"Vintage Culture at Fernando de Noronha, PEVintage Culture21 de abr. de 2021 18:02:33 BRT",2021-04-21 18:02:33,2021,Abril,21,Quarta-feira,Madrugada,18
Gusttavo Lima Oficial,Gusttavo Lima - Espetinho (O Embaixador The Legacy)Gusttavo Lima Oficial21 de abr. de 2021 17:58:12 BRT,2021-04-21 17:58:12,2021,Abril,21,Quarta-feira,Tarde,17
DJ Guuga,"DJ Guuga e DJ Ivis - Volta Bebê, Volta Neném (VideoClipe) OficialDJ Guuga21 de abr. de 2021 17:50:13 BRT",2021-04-21 17:50:13,2021,Abril,21,Quarta-feira,Tarde,17
Talk Flow,JOGANDO COM O GOLEIRO MANUEL NEUERTalk Flow20 de abr. de 2021 21:55:20 BRT,2021-04-20 21:55:20,2021,Abril,20,Terça-feira,Noite,21
Canal do Psiu,PSIU REACT - REAGI A GRINGA COM TOURETTE E INVADI A LIVE DELA !!Canal do Psiu20 de abr. de 2021 21:47:42 BRT,2021-04-20 21:47:42,2021,Abril,20,Terça-feira,Noite,21
Um Gamer Noob,DILERA E JESS - O  DIA QUE SURGIU A TOURETTE 3.0 (Legendado)Um Gamer Noob20 de abr. de 2021 20:59:04 BRT,2021-04-20 20:59:04,2021,Abril,20,Terça-feira,Noite,20
Flow Poop [OFICIAL],convidado abandona flow ao vivoFlow Poop [OFICIAL]20 de abr. de 2021 20:58:13 BRT,2021-04-20 20:58:13,2021,Abril,20,Terça-feira,Noite,20
Durham Hearing Specialists,Formby Scoop Used To Extract Hard Wax From Small EarDurham Hearing Specialists20 de abr. de 2021 00:08:04 BRT,2021-04-20 00:08:04,2021,Abril,20,Terça-feira,Madrugada,0
Durham Hearing Specialists,Cotton Wool Pushes Ear Wax Deeper into Canal (Extraction With Crocodile Forceps)Durham Hearing Specialists20 de abr. de 2021 00:06:02 BRT,2021-04-20 00:06:02,2021,Abril,20,Terça-feira,Madrugada,0
Durham Hearing Specialists,Hook and suction used to remove earwax mass (difficult extraction using an endoscope)Durham Hearing Specialists20 de abr. de 2021 00:02:20 BRT,2021-04-20 00:02:20,2021,Abril,20,Terça-feira,Madrugada,0
ENT Docs,Ear Wax RemovalENT Docs19 de abr. de 2021 23:59:35 BRT,2021-04-19 23:59:35,2021,Abril,19,Segunda-feira,Madrugada,23
ザ・ホワイトデンタルクリニック,25歳女性の大量歯石[Remove tartar]歯石除去Vol.10(牙石去除)ザ・ホワイトデンタルクリニック19 de abr. de 2021 23:58:06 BRT,2021-04-19 23:58:06,2021,Abril,19,Segunda-feira,Madrugada,23
Ligado no Dentista,Remoção de Tártaro nos Dentes em 2 Minutos com UltrassomLigado no Dentista19 de abr. de 2021 23:57:22 BRT,2021-04-19 23:57:22,2021,Abril,19,Segunda-feira,Madrugada,23
LEILY MACEDO FIROOZMAND,UFMA.Preparo Cavitário e Restauração de Resina Composta_Dente Posterior (Classe I)LEILY MACEDO FIROOZMAND19 de abr. de 2021 23:56:56 BRT,2021-04-19 23:56:56,2021,Abril,19,Segunda-feira,Madrugada,23
BL Restoration,Restoration Abandoned PLAYSTATION PS2 | Restoration Destroyed Retro ConsoleBL Restoration19 de abr. de 2021 23:53:53 BRT,2021-04-19 23:53:53,2021,Abril,19,Segunda-feira,Madrugada,23
Pagode da Ofensa na Web!,COMO FOI GRAVAR COM O KID - EMME WHITE #PAGODCASTPagode da Ofensa na Web!19 de abr. de 2021 18:56:35 BRT,2021-04-19 18:56:35,2021,Abril,19,Segunda-feira,Madrugada,18
Rap Talks,Mano Brown (Racionais 3D) Falando sobre a música Diario de um Detento | Rap TalksRap Talks19 de abr. de 2021 18:56:04 BRT,2021-04-19 18:56:04,2021,Abril,19,Segunda-feira,Madrugada,18
FATOS & VERDADES,O triste fim do falso Guina ex- Racionais Mcs !FATOS & VERDADES19 de abr. de 2021 18:49:34 BRT,2021-04-19 18:49:34,2021,Abril,19,Segunda-feira,Madrugada,18
Clips Br,Vinheteiro Quase C@aguei no programa Danilo Gentili? (Master Podcast) O Retorno.Clips Br19 de abr. de 2021 18:48:43 BRT,2021-04-19 18:48:43,2021,Abril,19,Segunda-feira,Madrugada,18
Flow Poop [OFICIAL],ZETRÊ SAIU PRA CAGAR kkkkkkkkkkkkkkkkkkkkkkkkkkkkFlow Poop [OFICIAL]19 de abr. de 2021 18:47:34 BRT,2021-04-19 18:47:34,2021,Abril,19,Segunda-feira,Madrugada,18
Tio Templario,LADRÃO NÃO AGUENTA E CAGA NA DELEGACIA KKKKTio Templario19 de abr. de 2021 18:45:50 BRT,2021-04-19 18:45:50,2021,Abril,19,Segunda-feira,Madrugada,18
Talk Flow,CONVIDADO QUERENDO VAZAR IRRITA IGOR E MONARKTalk Flow19 de abr. de 2021 18:44:59 BRT,2021-04-19 18:44:59,2021,Abril,19,Segunda-feira,Madrugada,18
João Caetano,REAGINDO A MINHA PARTICIPAÇÃO NO FLOW PODCAST (VERGONHA!)João Caetano19 de abr. de 2021 18:44:03 BRT,2021-04-19 18:44:03,2021,Abril,19,Segunda-feira,Madrugada,18
Talk Flow,MONARK MANDA CONVIDADO VAZAR DU NADATalk Flow19 de abr. de 2021 18:43:20 BRT,2021-04-19 18:43:20,2021,Abril,19,Segunda-feira,Madrugada,18
Talk Flow,CONVIDADO QUERENDO VAZAR DU NADATalk Flow19 de abr. de 2021 18:42:27 BRT,2021-04-19 18:42:27,2021,Abril,19,Segunda-feira,Madrugada,18
Talk Flow,O CONVIDADO QUE FOI NO FLOW PRA FICAR NO CELULARTalk Flow19 de abr. de 2021 18:40:43 BRT,2021-04-19 18:40:43,2021,Abril,19,Segunda-feira,Madrugada,18
Flow Podbeck,CELULAR USANDO O JOÃO CAETANO DURANTE O FLOW  - Flow PodbeckFlow Podbeck19 de abr. de 2021 18:39:13 BRT,2021-04-19 18:39:13,2021,Abril,19,Segunda-feira,Madrugada,18
Flow Podbeck,MONARK E IGÃO ABANDONAM CONVIDADO AO VIVO NO FLOWFlow Podbeck19 de abr. de 2021 18:38:14 BRT,2021-04-19 18:38:14,2021,Abril,19,Segunda-feira,Madrugada,18
Flow Compilações,O CLIMA ESQUENTOU - AS MAIORES TRETAS DO FLOW PODCASTFlow Compilações19 de abr. de 2021 18:37:04 BRT,2021-04-19 18:37:04,2021,Abril,19,Segunda-feira,Madrugada,18
Talk Flow,LORD VINHETEIRO FOI CAGAR AO VIVOTalk Flow19 de abr. de 2021 18:34:30 BRT,2021-04-19 18:34:30,2021,Abril,19,Segunda-feira,Madrugada,18
Cortes Podpah [OFICIAL],CONVIDADOS RUINSCortes Podpah [OFICIAL]19 de abr. de 2021 18:27:46 BRT,2021-04-19 18:27:46,2021,Abril,19,Segunda-feira,Madrugada,18
Gabriel Monteiro,"EDIÇÃO INÉDITA e partes especiais, Gabriel Monteiro e MamaefaleiGabriel Monteiro19 de abr. de 2021 18:26:57 BRT",2021-04-19 18:26:57,2021,Abril,19,Segunda-feira,Madrugada,18
Caravana Cloud,Configurando Windows 10 + WSL 2 + DockerCaravana Cloud19 de abr. de 2021 12:41:49 BRT,2021-04-19 12:41:49,2021,Abril,19,Segunda-feira,Tarde,12
Yoshida Qlik,Como Pegar dados de Sites Api Formato JSON em Qlik SenseYoshida Qlik18 de abr. de 2021 03:19:08 BRT,2021-04-18 03:19:08,2021,Abril,18,Domingo,Madrugada,3
Otávio Miranda,Consumindo uma API Rest usando requests em PythonOtávio Miranda18 de abr. de 2021 02:24:55 BRT,2021-04-18 02:24:55,2021,Abril,18,Domingo,Madrugada,2
Descompila,Extraindo dados do portal da Faculdade com PythonDescompila18 de abr. de 2021 02:22:03 BRT,2021-04-18 02:22:03,2021,Abril,18,Domingo,Madrugada,2
